1	2	3
1	3	4
1	4	5
1	5	6
1	6	4
1	7	2
1	8	8
1	9	6
1	10	6
1	11	5
1	12	8
1	13	7
1	14	9
1	15	3
1	16	9
1	17	3
1	18	2
1	19	1
1	20	8
1	21	1
1	22	4
1	23	8
1	24	3
2	25	6
2	28	6
2	79	1
3	26	8
3	29	5
3	80	7
4	27	9
4	30	9
4	81	7
5	28	6
5	31	9
5	82	1
6	29	8
6	32	8
6	83	6
7	30	6
7	33	3
7	84	6
8	31	3
8	34	5
8	85	7
9	32	3
9	35	5
9	86	1
10	33	9
10	36	3
10	87	1
11	34	8
11	37	5
11	88	8
12	35	2
12	38	9
12	89	2
13	36	5
13	39	5
13	90	5
14	37	5
14	40	2
14	91	3
15	38	6
15	41	3
15	92	7
16	39	2
16	42	2
16	93	3
17	40	8
17	43	3
17	94	7
18	41	5
18	44	2
18	95	6
19	42	2
19	45	9
19	96	7
20	43	4
20	46	4
20	97	9
21	44	8
21	47	1
21	98	7
22	45	4
22	48	9
22	99	8
23	46	5
23	49	1
23	100	4
24	47	7
24	50	7
24	101	3
25	51	9
26	52	4
27	53	1
28	54	8
29	55	9
30	56	7
31	57	5
32	58	4
33	59	4
34	60	1
35	61	7
36	62	4
37	63	5
38	64	3
39	65	5
40	66	8
41	67	9
42	68	6
43	69	7
44	70	3
45	71	7
46	72	8
47	73	8
48	74	9
49	75	5
50	76	2
51	77	1
52	77	4
53	77	2
54	77	5
55	77	6
56	77	6
57	77	8
58	77	7
59	77	5
60	77	7
61	77	6
62	77	9
63	77	7
64	77	4
65	77	5
66	77	3
67	77	2
68	77	6
69	77	3
70	77	3
71	77	3
72	77	2
73	77	2
74	77	5
75	77	4
76	77	6
77	78	9
78	79	2
78	80	4
78	81	2
78	82	8
78	83	4
78	84	2
78	85	1
78	86	2
78	87	3
78	88	9
78	89	1
78	90	2
78	91	2
78	92	8
78	93	3
78	94	1
78	95	1
78	96	7
78	97	4
78	98	5
78	99	8
78	100	1
78	101	1
79	102	2
80	102	3
81	102	5
82	102	2
83	102	7
84	102	4
85	102	7
86	102	7
87	102	4
88	102	3
89	102	9
90	102	8
91	102	3
92	102	4
93	102	4
94	102	1
95	102	5
96	102	6
97	102	4
98	102	2
99	102	3
100	102	6
101	102	1
