1	2	3
1	3	2
1	4	4
1	5	1
1	6	9
1	7	3
1	8	3
1	9	1
1	10	2
1	11	2
1	12	2
1	13	4
1	14	9
1	15	3
1	16	7
1	17	1
1	18	8
1	19	4
1	20	2
1	21	6
2	22	7
3	23	6
4	24	3
5	25	6
6	26	3
7	27	7
8	28	9
9	29	5
10	30	5
11	31	1
12	32	1
13	33	4
14	34	5
15	35	4
16	36	6
17	37	3
18	38	3
19	39	7
20	40	1
21	41	1
22	42	8
22	43	5
23	42	5
23	43	3
24	42	8
24	43	9
25	42	3
25	43	8
25	44	1
25	45	1
26	42	5
26	43	6
26	44	5
26	45	5
27	44	8
27	45	6
28	44	1
28	45	8
29	44	4
29	45	4
29	46	4
29	47	9
30	44	4
30	45	6
30	46	8
30	47	6
31	46	5
31	47	3
32	46	3
32	47	2
33	46	1
33	47	8
33	48	1
33	49	5
34	46	5
34	47	1
34	48	5
34	49	5
35	48	2
35	49	8
36	48	8
36	49	6
37	48	4
37	49	6
37	50	4
37	51	8
38	48	9
38	49	1
38	50	8
38	51	6
39	50	5
39	51	2
40	50	8
40	51	6
41	50	4
41	51	1
42	52	8
42	53	7
42	54	3
42	55	5
42	56	9
42	57	1
42	58	2
42	59	3
42	60	9
42	61	8
42	62	6
42	63	7
42	64	7
42	65	1
42	66	5
42	67	9
42	68	1
42	69	9
42	70	6
42	71	6
42	72	8
42	73	7
42	74	2
42	75	5
43	52	6
43	53	8
43	54	1
43	55	2
43	56	1
43	57	5
43	58	3
43	59	1
43	60	4
43	61	4
43	62	9
43	63	9
43	64	9
43	65	4
43	66	8
43	67	1
43	68	7
43	69	6
43	70	7
43	71	9
43	72	8
43	73	5
43	74	9
43	75	9
44	64	1
44	65	7
44	66	2
44	67	9
44	68	6
44	69	1
44	70	9
44	71	3
44	72	5
44	73	1
44	74	1
44	75	4
44	76	1
44	77	8
44	78	8
44	79	8
44	80	6
44	81	1
44	82	6
44	83	7
44	84	8
44	85	9
44	86	8
44	87	6
45	64	3
45	65	4
45	66	4
45	67	9
45	68	2
45	69	3
45	70	5
45	71	8
45	72	2
45	73	2
45	74	2
45	75	9
45	76	6
45	77	3
45	78	5
45	79	8
45	80	2
45	81	4
45	82	5
45	83	5
45	84	9
45	85	6
45	86	2
45	87	8
46	76	8
46	77	6
46	78	1
46	79	4
46	80	7
46	81	4
46	82	1
46	83	2
46	84	7
46	85	7
46	86	5
46	87	1
46	88	1
46	89	7
46	90	2
46	91	4
46	92	5
46	93	7
46	94	8
46	95	5
46	96	3
46	97	4
46	98	1
46	99	9
47	76	7
47	77	4
47	78	9
47	79	6
47	80	9
47	81	9
47	82	7
47	83	6
47	84	4
47	85	1
47	86	2
47	87	8
47	88	4
47	89	3
47	90	2
47	91	1
47	92	4
47	93	4
47	94	9
47	95	1
47	96	2
47	97	8
47	98	4
47	99	5
48	88	1
48	89	4
48	90	1
48	91	6
48	92	1
48	93	6
48	94	9
48	95	6
48	96	9
48	97	8
48	98	7
48	99	6
48	100	1
48	101	5
48	102	3
48	103	9
48	104	5
48	105	2
48	106	5
48	107	6
48	108	8
48	109	6
48	110	9
48	111	3
49	88	9
49	89	7
49	90	8
49	91	1
49	92	6
49	93	5
49	94	6
49	95	7
49	96	3
49	97	8
49	98	9
49	99	5
49	100	3
49	101	1
49	102	6
49	103	5
49	104	2
49	105	2
49	106	7
49	107	4
49	108	1
49	109	3
49	110	4
49	111	7
50	100	9
50	101	7
50	102	2
50	103	2
50	104	4
50	105	3
50	106	8
50	107	5
50	108	9
50	109	4
50	110	6
50	111	9
50	112	5
50	113	2
50	114	3
50	115	1
50	116	7
50	117	5
50	118	4
50	119	4
50	120	9
50	121	1
50	122	4
50	123	3
51	100	3
51	101	8
51	102	2
51	103	9
51	104	1
51	105	6
51	106	8
51	107	7
51	108	4
51	109	6
51	110	9
51	111	2
51	112	9
51	113	8
51	114	5
51	115	6
51	116	2
51	117	7
51	118	8
51	119	1
51	120	1
51	121	7
51	122	4
51	123	3
52	124	3
53	124	9
54	124	9
55	124	6
56	124	9
57	124	4
58	124	6
59	124	3
60	124	1
61	124	8
62	124	9
63	124	8
64	124	6
65	124	1
66	124	9
67	124	4
68	124	4
69	124	6
70	124	9
71	124	1
72	124	8
73	124	1
74	124	5
75	124	7
76	124	1
77	124	3
78	124	6
79	124	4
80	124	8
81	124	2
82	124	9
83	124	1
84	124	8
85	124	4
86	124	1
87	124	3
88	124	9
89	124	8
90	124	7
91	124	5
92	124	7
93	124	3
94	124	2
95	124	9
96	124	6
97	124	7
98	124	2
99	124	6
100	124	5
101	124	5
102	124	7
103	124	5
104	124	9
105	124	2
106	124	3
107	124	8
108	124	2
109	124	8
110	124	2
111	124	3
112	124	2
113	124	1
114	124	1
115	124	9
116	124	8
117	124	9
118	124	8
119	124	2
120	124	7
121	124	2
122	124	8
123	124	5
